Case_ID,Case_Type,Priority,Received_Date,Start_Time,End_Time,Agent_ID,Agent_Name,Department,Status,SLA_Target_Hours,Country
CASE-101610,AML Review,Medium,2026-05-06,2026-05-07 04:38:46,2026-05-08 16:09:45,AGT0034,Amy White,AML Operations,Closed,60,Australia
CASE-101611,Fraud Alert,High,2025-12-12,2025-12-12 08:21:50,2025-12-13 21:05:01,AGT0008,Stephen Hill,Fraud Operations,Closed,48,India
CASE-101612,AML Review,High,2025-10-31,2025-10-31 18:03:04,2025-11-01 08:58:41,AGT0064,Angela Allen,AML Operations,Closed,90,Germany
CASE-101613,Fraud Alert,Low,2026-05-14,2026-05-14 00:13:03,2026-05-14 11:12:45,AGT0010,Brandon Evans,Fraud Operations,Closed,30,United Kingdom
CASE-101614,AML Review,Low,2026-02-17,2026-02-17 22:49:03,2026-02-18 07:38:29,AGT0097,Maria Green,AML Operations,Closed,40,Japan
CASE-101615,AML Review,Low,2025-08-30,2025-08-30 22:38:53,2025-08-31 09:04:01,AGT0100,Samantha Ramirez,AML Operations,Closed,40,United Kingdom
CASE-101616,AML Review,Low,2025-09-21,2025-09-22 04:43:37,2025-09-23 04:54:27,AGT0076,Ahmed Rogers,AML Operations,Closed,40,Brazil
CASE-101617,KYC Review,Medium,2026-04-25,2026-04-25 23:09:59,2026-04-26 10:11:40,AGT0040,Richard Castillo,KYC Operations,Closed,50,Singapore
CASE-101618,KYC Review,Medium,2026-03-07,2026-03-07 16:44:15,2026-03-10 00:57:26,AGT0054,Stephanie Ramos,KYC Operations,Closed,50,United Kingdom
CASE-101619,AML Review,Medium,2025-11-25,2025-11-25 14:54:24,2025-11-25 21:56:30,AGT0013,Sharon Richardson,AML Operations,Closed,60,Brazil
CASE-101620,Fraud Alert,Medium,2026-03-15,2026-03-15 20:02:56,2026-03-17 03:00:20,AGT0027,Katherine Brown,Fraud Operations,Closed,40,Mexico
CASE-101621,AML Review,Medium,2025-08-07,2025-08-07 20:18:25,,AGT0064,Angela Allen,AML Operations,Open,60,Brazil
CASE-101622,AML Review,Low,2025-08-27,2025-08-27 20:50:54,2025-08-28 02:21:32,AGT0091,Wei Collins,AML Operations,Closed,40,United States
CASE-101623,KYC Review,Low,2025-11-13,2025-11-13 12:30:12,2025-11-14 01:55:08,AGT0024,Aisha Turner,KYC Operations,Closed,32,United States
CASE-101624,AML Review,Low,2026-02-20,2026-02-20 14:35:30,2026-02-20 23:20:36,AGT0052,George Gutierrez,AML Operations,Closed,40,United States
CASE-101625,KYC Review,Low,2025-07-28,2025-07-28 14:02:52,2025-07-28 19:32:30,AGT0042,Lisa Watson,KYC Operations,Closed,32,Canada
CASE-101626,KYC Review,Low,2025-09-09,2025-09-09 16:33:42,2025-09-10 09:59:40,AGT0069,Olga Brooks,KYC Operations,Closed,32,United States
CASE-101627,Fraud Alert,Low,2026-01-15,2026-01-15 05:58:29,2026-01-15 14:13:53,AGT0059,Daniel Baker,Fraud Operations,Closed,30,India
CASE-101628,AML Review,High,2025-10-23,2025-10-23 17:32:40,,AGT0013,Sharon Richardson,AML Operations,Pending,90,Canada
CASE-101629,AML Review,Low,2025-11-12,2025-11-12 22:58:59,2025-11-13 00:40:31,AGT0088,Pamela Moore,AML Operations,Closed,40,France
CASE-101630,Fraud Alert,Low,2026-07-08,2026-07-08 16:07:55,,AGT0005,Shirley Morris,Fraud Operations,Pending,30,India
CASE-101631,Fraud Alert,Medium,2025-11-03,2025-11-03 11:06:35,2025-11-04 17:55:02,AGT0062,Jennifer Scott,Fraud Operations,Closed,40,Singapore
CASE-101632,Fraud Alert,High,2025-12-06,2025-12-06 13:52:33,,AGT0005,Shirley Morris,Fraud Operations,Pending,48,Australia
CASE-101633,AML Review,Low,2025-11-28,2025-11-28 23:03:42,2025-11-29 15:21:33,AGT0073,Laura Miller,AML Operations,Closed,40,United States
CASE-101634,Fraud Alert,Low,2025-09-16,2025-09-16 04:47:47,2025-09-17 00:55:21,AGT0074,Carlos Lopez,Fraud Operations,Closed,30,United States
CASE-101635,Fraud Alert,Medium,2026-07-05,2026-07-05 18:25:14,2026-07-06 14:05:59,AGT0004,Elizabeth Wilson,Fraud Operations,Closed,40,United States
CASE-101636,Fraud Alert,Low,2026-04-27,2026-04-27 02:01:06,2026-04-27 15:34:52,AGT0041,Andrew Kelly,Fraud Operations,Closed,30,Mexico
CASE-101637,Fraud Alert,Medium,2026-01-30,2026-01-31 07:16:49,2026-01-31 18:47:16,AGT0032,Melissa Stewart,Fraud Operations,Closed,40,India
CASE-101638,AML Review,Low,2026-05-14,2026-05-14 13:20:45,2026-05-14 17:01:11,AGT0079,Raj Campbell,AML Operations,Closed,40,Brazil
CASE-101639,KYC Review,Low,2026-04-11,2026-04-11 10:24:20,2026-04-11 18:44:15,AGT0069,Olga Brooks,KYC Operations,Closed,32,Canada
CASE-101640,KYC Review,Low,2026-05-15,2026-05-15 04:43:01,2026-05-15 15:31:13,AGT0045,Charles Robinson,KYC Operations,Closed,32,South Africa
CASE-101641,KYC Review,High,2026-02-25,2026-02-25 22:49:17,,AGT0060,Gary Smith,KYC Operations,Pending,75,Singapore
CASE-101642,AML Review,Medium,2025-08-09,2025-08-09 18:29:54,,AGT0012,David Ortiz,AML Operations,Pending,60,Japan
CASE-101643,AML Review,High,2026-07-10,2026-07-10 08:27:16,2026-07-11 02:50:10,AGT0055,Thomas Wright,AML Operations,Closed,90,United Kingdom
CASE-101644,AML Review,High,2025-09-23,2025-09-23 20:47:04,2025-09-25 00:09:49,AGT0052,George Gutierrez,AML Operations,Closed,90,United States
CASE-101645,AML Review,Medium,2026-07-11,2026-07-11 00:25:07,2026-07-11 17:57:40,AGT0049,Linda Cruz,AML Operations,Closed,60,Canada
CASE-101646,AML Review,Low,2025-11-08,2025-11-08 14:37:22,2025-11-08 21:58:44,AGT0028,Anthony Gray,AML Operations,Closed,40,India
CASE-101647,KYC Review,High,2026-01-06,2026-01-06 16:00:30,2026-01-07 06:21:52,AGT0054,Stephanie Ramos,KYC Operations,Closed,75,United Kingdom
CASE-101648,AML Review,Medium,2025-12-03,2025-12-03 10:06:29,,AGT0076,Ahmed Rogers,AML Operations,Pending,60,United Kingdom
CASE-101649,KYC Review,High,2025-11-22,2025-11-22 11:28:08,2025-11-24 01:18:06,AGT0084,Fatima Ruiz,KYC Operations,Closed,75,South Africa
CASE-101650,AML Review,High,2026-06-02,2026-06-02 15:32:05,2026-06-04 01:53:29,AGT0058,Jonathan Ward,AML Operations,Closed,90,United Kingdom
CASE-101651,KYC Review,Medium,2026-04-05,2026-04-06 01:11:53,2026-04-06 17:03:04,AGT0042,Lisa Watson,KYC Operations,Closed,50,France
CASE-101652,Fraud Alert,Medium,2026-07-17,2026-07-17 15:32:10,2026-07-18 08:36:37,AGT0014,Jeffrey Hall,Fraud Operations,Closed,40,South Africa
CASE-101653,Fraud Alert,High,2026-02-14,2026-02-14 10:32:15,,AGT0020,Donna Williams,Fraud Operations,Pending,48,United States
CASE-101654,Fraud Alert,High,2026-05-12,2026-05-12 13:54:58,2026-05-13 12:59:17,AGT0086,Robert Bailey,Fraud Operations,Closed,48,Singapore
CASE-101655,KYC Review,Medium,2026-07-10,2026-07-10 09:15:19,,AGT0007,Mary Thompson,KYC Operations,Pending,50,United States
CASE-101656,AML Review,High,2025-12-09,2025-12-09 08:35:34,2025-12-10 16:50:40,AGT0004,Elizabeth Wilson,AML Operations,Closed,90,France
CASE-101657,Fraud Alert,Low,2026-02-04,2026-02-04 10:10:06,,AGT0026,Deborah Long,Fraud Operations,Pending,30,Japan
CASE-101658,KYC Review,Low,2025-10-08,2025-10-09 06:28:36,2025-10-09 12:55:29,AGT0024,Aisha Turner,KYC Operations,Closed,32,United States
CASE-101659,AML Review,Low,2025-10-22,2025-10-22 16:40:28,2025-10-23 08:00:21,AGT0052,George Gutierrez,AML Operations,Closed,40,India
CASE-101660,KYC Review,Medium,2026-06-11,2026-06-12 06:24:02,2026-06-13 03:31:06,AGT0021,Donald Mitchell,KYC Operations,Closed,50,India
CASE-101661,Fraud Alert,High,2026-01-01,2026-01-01 19:38:29,,AGT0038,Timothy Peterson,Fraud Operations,Open,48,United States
CASE-101662,Fraud Alert,High,2026-05-07,2026-05-07 22:14:02,,AGT0059,Daniel Baker,Fraud Operations,Pending,48,Japan
CASE-101663,KYC Review,Medium,2025-09-12,2025-09-12 07:40:07,2025-09-13 09:24:23,AGT0090,Helen Jackson,KYC Operations,Closed,50,United States
CASE-101664,AML Review,High,2025-12-01,2025-12-01 17:36:17,2025-12-03 13:32:40,AGT0061,Matthew Parker,AML Operations,Closed,90,France
CASE-101665,AML Review,High,2025-09-11,2025-09-11 18:45:20,2025-09-18 06:50:58,AGT0052,George Gutierrez,AML Operations,Closed,90,India
CASE-101666,AML Review,Low,2025-12-04,2025-12-04 21:33:25,2025-12-05 10:43:49,AGT0088,Pamela Moore,AML Operations,Closed,40,United States
CASE-101667,AML Review,Medium,2026-05-05,2026-05-05 12:34:24,2026-05-06 06:38:12,AGT0013,Sharon Richardson,AML Operations,Closed,60,India
CASE-101668,AML Review,Low,2026-02-19,2026-02-19 09:10:23,2026-02-19 16:49:52,AGT0085,Omar Morgan,AML Operations,Closed,40,India
CASE-101669,Fraud Alert,High,2026-07-06,2026-07-07 01:02:27,2026-07-09 03:38:51,AGT0068,Carol Rodriguez,Fraud Operations,Closed,48,United States
CASE-101670,Fraud Alert,High,2026-05-14,2026-05-15 02:03:36,2026-05-18 06:32:28,AGT0074,Carlos Lopez,Fraud Operations,Closed,48,Japan
CASE-101671,Fraud Alert,Low,2025-10-21,2025-10-21 15:27:49,,AGT0038,Timothy Peterson,Fraud Operations,Pending,30,United Kingdom
CASE-101672,AML Review,Low,2026-07-03,2026-07-03 19:44:53,,AGT0067,Emma Roberts,AML Operations,Open,40,United Kingdom
CASE-101673,KYC Review,Low,2026-03-09,2026-03-09 05:48:01,2026-03-09 09:14:31,AGT0042,Lisa Watson,KYC Operations,Closed,32,Australia
CASE-101674,KYC Review,Medium,2025-12-17,2025-12-17 18:35:46,2025-12-19 03:55:45,AGT0003,Ivan Garcia,KYC Operations,Closed,50,United Arab Emirates
CASE-101675,AML Review,Medium,2025-10-06,2025-10-06 09:46:17,,AGT0094,Mark Murphy,AML Operations,Pending,60,United States
CASE-101676,AML Review,High,2026-01-12,2026-01-12 16:57:33,2026-01-14 12:24:44,AGT0019,Scott Walker,AML Operations,Closed,90,United States
CASE-101677,AML Review,Low,2026-05-12,2026-05-12 15:13:46,2026-05-12 21:16:45,AGT0034,Amy White,AML Operations,Closed,40,United States
CASE-101678,AML Review,Medium,2025-08-29,2025-08-29 03:02:32,2025-08-30 01:01:45,AGT0037,Noah Flores,AML Operations,Closed,60,Germany
CASE-101679,KYC Review,Medium,2025-11-17,2025-11-17 13:15:30,2025-11-19 01:40:34,AGT0084,Fatima Ruiz,KYC Operations,Closed,50,United States
CASE-101680,KYC Review,Medium,2025-12-20,2025-12-20 13:48:54,2025-12-21 09:38:06,AGT0033,Cynthia Rivera,KYC Operations,Closed,50,United States
CASE-101681,Fraud Alert,Medium,2026-02-11,2026-02-11 15:37:15,2026-02-12 08:25:41,AGT0008,Stephen Hill,Fraud Operations,Closed,40,United States
CASE-101682,Fraud Alert,Medium,2026-01-25,2026-01-26 00:44:45,,AGT0011,Brenda Bennett,Fraud Operations,Open,40,Japan
CASE-101683,AML Review,Low,2026-03-11,2026-03-11 16:48:40,2026-03-11 23:09:52,AGT0010,Brandon Evans,AML Operations,Closed,40,United Arab Emirates
CASE-101684,AML Review,High,2025-08-04,2025-08-04 05:03:28,2025-08-06 18:38:09,AGT0013,Sharon Richardson,AML Operations,Closed,90,United States
CASE-101685,Fraud Alert,High,2026-06-27,2026-06-27 14:37:26,2026-06-28 14:22:14,AGT0059,Daniel Baker,Fraud Operations,Closed,48,Mexico
CASE-101686,KYC Review,High,2026-07-17,2026-07-17 03:24:48,2026-07-18 20:21:54,AGT0033,Cynthia Rivera,KYC Operations,Closed,75,Germany
CASE-101687,KYC Review,Low,2026-02-12,2026-02-12 10:18:09,2026-02-12 17:00:16,AGT0003,Ivan Garcia,KYC Operations,Closed,32,Canada
CASE-101688,Fraud Alert,Low,2026-03-23,2026-03-23 21:59:39,2026-03-24 16:21:22,AGT0035,Justin Martinez,Fraud Operations,Closed,30,United States
CASE-101689,Fraud Alert,High,2026-02-12,2026-02-12 20:04:06,2026-02-13 20:03:56,AGT0032,Melissa Stewart,Fraud Operations,Closed,48,India
CASE-101690,Fraud Alert,High,2025-09-04,2025-09-04 11:27:57,2025-09-05 12:44:40,AGT0059,Daniel Baker,Fraud Operations,Closed,48,United States
CASE-101691,AML Review,High,2025-10-11,2025-10-11 11:04:10,2025-10-13 09:15:18,AGT0034,Amy White,AML Operations,Closed,90,Canada
CASE-101692,AML Review,High,2026-02-08,2026-02-08 13:15:51,2026-02-11 00:00:54,AGT0007,Mary Thompson,AML Operations,Closed,90,United States
CASE-101693,AML Review,Low,2025-12-16,2025-12-16 22:00:53,,AGT0001,Kevin Edwards,AML Operations,Open,40,India
CASE-101694,AML Review,Medium,2025-09-29,2025-09-30 06:08:31,2025-10-01 07:47:58,AGT0100,Samantha Ramirez,AML Operations,Closed,60,Australia
CASE-101695,Fraud Alert,High,2025-08-07,2025-08-07 02:33:16,2025-08-11 08:27:37,AGT0026,Deborah Long,Fraud Operations,Closed,48,United States
CASE-101696,Fraud Alert,High,2026-01-06,2026-01-06 19:31:40,2026-01-07 23:55:57,AGT0020,Donna Williams,Fraud Operations,Closed,48,United States
CASE-101697,AML Review,Medium,2026-04-26,2026-04-26 10:16:10,2026-04-27 17:36:27,AGT0016,Amanda Jones,AML Operations,Closed,60,India
CASE-101698,AML Review,Medium,2025-10-01,2025-10-01 20:39:35,2025-10-02 05:37:39,AGT0010,Brandon Evans,AML Operations,Closed,60,India
CASE-101699,AML Review,Medium,2026-05-25,2026-05-25 16:46:13,2026-05-26 01:20:18,AGT0055,Thomas Wright,AML Operations,Closed,60,France
CASE-101700,Fraud Alert,Medium,2026-06-14,2026-06-14 23:22:55,2026-06-15 20:25:12,AGT0047,Kathleen Myers,Fraud Operations,Closed,40,India
CASE-101701,AML Review,Medium,2026-06-16,2026-06-17 12:37:38,2026-06-17 18:05:38,AGT0076,Ahmed Rogers,AML Operations,Closed,60,United States
CASE-101702,Fraud Alert,Low,2026-01-17,2026-01-17 17:38:16,2026-01-18 02:12:40,AGT0074,Carlos Lopez,Fraud Operations,Closed,30,United States
CASE-101703,KYC Review,Medium,2025-09-07,2025-09-07 18:38:02,2025-09-10 19:33:55,AGT0084,Fatima Ruiz,KYC Operations,Closed,50,India
CASE-101704,AML Review,High,2026-02-20,2026-02-20 19:51:01,2026-02-21 10:22:45,AGT0001,Kevin Edwards,AML Operations,Closed,90,United States
CASE-101705,AML Review,Medium,2025-07-29,2025-07-29 02:26:07,,AGT0019,Scott Walker,AML Operations,Pending,60,Brazil
CASE-101706,KYC Review,High,2025-10-01,2025-10-01 12:41:22,2025-10-03 13:45:39,AGT0012,David Ortiz,KYC Operations,Closed,75,Canada
CASE-101707,Fraud Alert,Low,2026-04-23,2026-04-23 02:43:28,2026-04-23 06:06:24,AGT0089,Barbara King,Fraud Operations,Closed,30,United States
CASE-101708,Fraud Alert,Medium,2026-04-01,2026-04-01 17:34:46,2026-04-03 06:45:48,AGT0086,Robert Bailey,Fraud Operations,Closed,40,United States
CASE-101709,Fraud Alert,Medium,2026-03-01,2026-03-01 14:34:15,,AGT0089,Barbara King,Fraud Operations,Open,40,United Arab Emirates
CASE-101710,AML Review,Low,2025-07-27,2025-07-28 05:41:17,2025-07-28 15:18:31,AGT0082,Sandra Diaz,AML Operations,Closed,40,United States
CASE-101711,KYC Review,Medium,2026-02-19,2026-02-20 02:56:36,2026-02-20 09:34:00,AGT0063,Michael Morales,KYC Operations,Closed,50,Singapore
CASE-101712,KYC Review,Low,2025-11-28,2025-11-28 08:06:05,2025-11-28 15:56:27,AGT0093,Sarah Gomez,KYC Operations,Closed,32,Australia
CASE-101713,KYC Review,Medium,2026-06-19,2026-06-19 15:44:53,2026-06-19 22:31:16,AGT0024,Aisha Turner,KYC Operations,Closed,50,India
CASE-101714,KYC Review,Medium,2025-11-13,2025-11-13 09:56:08,2025-11-16 02:01:30,AGT0096,Emily Jimenez,KYC Operations,Closed,50,Australia
CASE-101715,Fraud Alert,Medium,2026-06-09,2026-06-09 11:19:38,2026-06-12 06:03:00,AGT0053,John Kim,Fraud Operations,Closed,40,Singapore
CASE-101716,KYC Review,Medium,2026-06-02,2026-06-02 11:34:01,2026-06-02 22:17:19,AGT0048,Jacob Hughes,KYC Operations,Closed,50,United States
CASE-101717,AML Review,Low,2026-04-22,2026-04-22 14:22:07,2026-04-23 01:10:02,AGT0094,Mark Murphy,AML Operations,Closed,40,Brazil
CASE-101718,Fraud Alert,Low,2025-08-28,2025-08-28 09:55:48,2025-08-28 17:27:41,AGT0098,Patricia Alvarez,Fraud Operations,Closed,30,Brazil
CASE-101719,Fraud Alert,High,2025-09-18,2025-09-19 01:07:40,2025-09-20 23:17:42,AGT0077,Betty Mendoza,Fraud Operations,Closed,48,Germany
CASE-101720,AML Review,Medium,2026-03-12,2026-03-12 11:50:30,2026-03-13 22:43:46,AGT0085,Omar Morgan,AML Operations,Closed,60,United States
CASE-101721,KYC Review,Low,2026-04-01,2026-04-01 07:07:52,2026-04-01 14:45:33,AGT0087,Jason Young,KYC Operations,Closed,32,United States
CASE-101722,Fraud Alert,Low,2025-10-09,2025-10-09 03:18:54,2025-10-09 21:58:42,AGT0062,Jennifer Scott,Fraud Operations,Closed,30,Canada
CASE-101723,Fraud Alert,Medium,2025-08-04,2025-08-04 08:34:27,2025-08-05 18:06:49,AGT0023,Steven Johnson,Fraud Operations,Closed,40,India
CASE-101724,Fraud Alert,Medium,2025-12-15,2025-12-15 11:10:20,,AGT0007,Mary Thompson,Fraud Operations,Pending,40,United States
CASE-101725,KYC Review,Low,2026-03-05,2026-03-05 06:43:04,2026-03-05 20:57:03,AGT0099,Joseph Reed,KYC Operations,Closed,32,United Arab Emirates
CASE-101726,KYC Review,Medium,2025-10-09,2025-10-09 02:18:43,2025-10-09 18:20:40,AGT0060,Gary Smith,KYC Operations,Closed,50,Mexico
CASE-101727,AML Review,Medium,2026-01-15,2026-01-15 18:47:10,,AGT0034,Amy White,AML Operations,Open,60,United Kingdom
CASE-101728,Fraud Alert,Medium,2026-04-05,2026-04-05 17:19:13,2026-04-06 03:54:21,AGT0038,Timothy Peterson,Fraud Operations,Closed,40,Singapore
CASE-101729,AML Review,Medium,2025-08-09,2025-08-09 16:18:29,,AGT0070,Christopher Lee,AML Operations,Pending,60,Australia
CASE-101730,AML Review,High,2025-10-06,2025-10-06 07:26:59,2025-10-10 08:01:14,AGT0076,Ahmed Rogers,AML Operations,Closed,90,Canada
CASE-101731,KYC Review,Medium,2026-02-09,2026-02-09 02:38:29,,AGT0024,Aisha Turner,KYC Operations,Pending,50,United States
CASE-101732,AML Review,Medium,2025-10-24,2025-10-24 08:55:06,2025-10-25 02:01:32,AGT0073,Laura Miller,AML Operations,Closed,60,United Kingdom
CASE-101733,AML Review,Medium,2025-11-29,2025-11-29 19:49:24,2025-12-01 01:39:57,AGT0061,Matthew Parker,AML Operations,Closed,60,Singapore
CASE-101734,Fraud Alert,High,2025-09-24,2025-09-24 14:27:28,2025-09-25 11:22:42,AGT0047,Kathleen Myers,Fraud Operations,Closed,48,United States
CASE-101735,KYC Review,Low,2026-03-07,2026-03-07 09:27:59,2026-03-07 21:46:59,AGT0042,Lisa Watson,KYC Operations,Closed,32,Australia
CASE-101736,Fraud Alert,Low,2025-08-10,2025-08-10 08:33:33,2025-08-10 20:11:13,AGT0008,Stephen Hill,Fraud Operations,Closed,30,Japan
CASE-101737,KYC Review,Medium,2025-09-10,2025-09-10 19:36:49,2025-09-11 17:30:27,AGT0099,Joseph Reed,KYC Operations,Closed,50,United Kingdom
CASE-101738,AML Review,Low,2025-11-07,2025-11-07 22:13:11,2025-11-08 04:43:42,AGT0082,Sandra Diaz,AML Operations,Closed,40,Germany
CASE-101739,AML Review,Medium,2025-12-30,2025-12-30 15:31:36,2025-12-31 09:31:44,AGT0022,Nancy Patel,AML Operations,Closed,60,Canada
CASE-101740,AML Review,Medium,2025-08-14,2025-08-14 23:33:37,2025-08-16 01:41:57,AGT0022,Nancy Patel,AML Operations,Closed,60,Japan
CASE-101741,KYC Review,High,2025-11-30,2025-11-30 20:17:01,2025-12-03 02:24:44,AGT0051,Chloe Adams,KYC Operations,Closed,75,Japan
CASE-101742,Fraud Alert,Low,2025-11-02,2025-11-02 18:25:00,2025-11-03 02:02:48,AGT0014,Jeffrey Hall,Fraud Operations,Closed,30,United States
CASE-101743,Fraud Alert,Low,2026-06-30,2026-06-30 10:00:03,,AGT0044,Kenneth Cook,Fraud Operations,Pending,30,United Kingdom
CASE-101744,AML Review,Medium,2025-11-21,2025-11-22 03:27:54,2025-11-22 18:40:25,AGT0003,Ivan Garcia,AML Operations,Closed,60,United Kingdom
CASE-101745,Fraud Alert,Low,2025-07-31,2025-07-31 08:55:28,2025-08-01 06:21:43,AGT0056,Joshua Price,Fraud Operations,Closed,30,Singapore
CASE-101746,Fraud Alert,Medium,2026-05-19,2026-05-19 05:21:13,,AGT0023,Steven Johnson,Fraud Operations,Pending,40,India
CASE-101747,KYC Review,Low,2025-11-25,2025-11-25 00:49:49,2025-11-25 12:55:59,AGT0063,Michael Morales,KYC Operations,Closed,32,United States
CASE-101748,Fraud Alert,Medium,2026-05-17,2026-05-18 01:02:16,2026-05-18 10:56:05,AGT0054,Stephanie Ramos,Fraud Operations,Closed,40,Singapore
CASE-101749,Fraud Alert,Medium,2025-10-11,2025-10-11 15:07:36,2025-10-12 00:42:51,AGT0032,Melissa Stewart,Fraud Operations,Closed,40,India
CASE-101750,AML Review,Medium,2025-11-28,2025-11-28 07:46:53,,AGT0097,Maria Green,AML Operations,Pending,60,United States
CASE-101751,AML Review,Medium,2026-07-10,2026-07-11 01:42:20,2026-07-11 21:34:38,AGT0022,Nancy Patel,AML Operations,Closed,60,United States
CASE-101752,KYC Review,Low,2026-06-09,2026-06-09 15:40:05,,AGT0081,Nicholas Ross,KYC Operations,Pending,32,United States
CASE-101753,KYC Review,Low,2026-06-19,2026-06-19 06:41:07,,AGT0066,Karen Carter,KYC Operations,Open,32,Singapore
CASE-101754,AML Review,Low,2025-09-16,2025-09-16 15:16:32,,AGT0076,Ahmed Rogers,AML Operations,Pending,40,United States
CASE-101755,KYC Review,Low,2026-01-02,2026-01-02 23:10:28,,AGT0045,Charles Robinson,KYC Operations,Open,32,Brazil
CASE-101756,Fraud Alert,Medium,2026-01-17,2026-01-17 18:24:21,2026-01-18 06:19:29,AGT0014,Jeffrey Hall,Fraud Operations,Closed,40,Australia
CASE-101757,AML Review,Low,2025-08-03,2025-08-03 14:08:14,2025-08-04 01:34:44,AGT0091,Wei Collins,AML Operations,Closed,40,Australia
CASE-101758,AML Review,Medium,2025-09-30,2025-09-30 10:48:06,2025-10-01 13:32:10,AGT0022,Nancy Patel,AML Operations,Closed,60,United Arab Emirates
CASE-101759,AML Review,Medium,2026-03-29,2026-03-29 15:59:23,2026-03-30 10:22:01,AGT0004,Elizabeth Wilson,AML Operations,Closed,60,United States
CASE-101760,AML Review,Medium,2026-04-27,2026-04-27 17:51:56,2026-04-29 11:24:22,AGT0001,Kevin Edwards,AML Operations,Closed,60,United States
CASE-101761,Fraud Alert,Medium,2025-10-27,2025-10-27 22:28:42,2025-10-28 12:49:53,AGT0056,Joshua Price,Fraud Operations,Closed,40,United States
CASE-101762,KYC Review,Low,2026-03-20,2026-03-20 22:42:15,2026-03-21 05:32:37,AGT0036,Brian Gonzalez,KYC Operations,Closed,32,India
CASE-101763,Fraud Alert,Medium,2026-05-26,2026-05-26 21:33:09,,AGT0053,John Kim,Fraud Operations,Open,40,Singapore
CASE-101764,Fraud Alert,Low,2026-04-21,2026-04-21 07:58:39,2026-04-21 16:03:14,AGT0023,Steven Johnson,Fraud Operations,Closed,30,United Kingdom
CASE-101765,AML Review,Medium,2025-12-05,2025-12-06 00:59:50,2025-12-08 18:10:05,AGT0100,Samantha Ramirez,AML Operations,Closed,60,France
CASE-101766,AML Review,Medium,2025-07-24,2025-07-25 06:20:45,2025-07-25 23:14:37,AGT0004,Elizabeth Wilson,AML Operations,Closed,60,Brazil
CASE-101767,KYC Review,High,2025-10-26,2025-10-26 02:51:08,2025-10-28 06:13:02,AGT0051,Chloe Adams,KYC Operations,Closed,75,United States
CASE-101768,KYC Review,Low,2026-01-26,2026-01-27 00:29:48,2026-01-27 11:24:30,AGT0075,Rebecca Sanders,KYC Operations,Closed,32,United States
CASE-101769,AML Review,High,2025-08-25,2025-08-26 00:53:01,,AGT0052,George Gutierrez,AML Operations,Pending,90,Mexico
CASE-101770,AML Review,Medium,2026-02-07,2026-02-07 07:36:40,2026-02-08 02:55:37,AGT0076,Ahmed Rogers,AML Operations,Closed,60,Canada
CASE-101771,Fraud Alert,High,2026-04-04,2026-04-05 02:30:33,2026-04-06 08:23:28,AGT0074,Carlos Lopez,Fraud Operations,Closed,48,United States
CASE-101772,Fraud Alert,Medium,2025-12-15,2025-12-15 16:40:45,,AGT0071,James Martin,Fraud Operations,Open,40,Germany
CASE-101773,AML Review,High,2026-01-04,2026-01-04 07:41:30,,AGT0046,Eric Hernandez,AML Operations,Pending,90,United Kingdom
CASE-101774,Fraud Alert,Low,2026-06-26,2026-06-26 06:44:24,2026-06-26 21:26:03,AGT0053,John Kim,Fraud Operations,Closed,30,Canada
CASE-101775,KYC Review,Medium,2025-09-28,2025-09-28 06:50:29,2025-09-29 14:11:44,AGT0063,Michael Morales,KYC Operations,Closed,50,Canada
CASE-101776,KYC Review,Medium,2025-11-04,2025-11-04 05:46:15,,AGT0054,Stephanie Ramos,KYC Operations,Pending,50,United Arab Emirates
CASE-101777,KYC Review,Medium,2025-09-12,2025-09-12 05:21:06,2025-09-12 19:18:21,AGT0096,Emily Jimenez,KYC Operations,Closed,50,United States
CASE-101778,Fraud Alert,Medium,2026-02-07,2026-02-08 05:28:47,2026-02-09 04:12:38,AGT0065,Samuel Reyes,Fraud Operations,Closed,40,United States
CASE-101779,Fraud Alert,Medium,2026-06-08,2026-06-08 22:13:12,,AGT0038,Timothy Peterson,Fraud Operations,Pending,40,United States
CASE-101780,KYC Review,Low,2026-01-27,2026-01-27 11:18:05,2026-01-28 05:36:38,AGT0057,Ryan Davis,KYC Operations,Closed,32,India
CASE-101781,KYC Review,High,2025-08-29,2025-08-29 03:36:18,2025-08-31 19:30:03,AGT0090,Helen Jackson,KYC Operations,Closed,75,United Kingdom
CASE-101782,KYC Review,Low,2025-11-07,2025-11-08 00:02:49,2025-11-08 13:26:49,AGT0010,Brandon Evans,KYC Operations,Closed,32,United States
CASE-101783,KYC Review,Medium,2025-09-02,2025-09-02 17:09:51,2025-09-03 04:01:58,AGT0057,Ryan Davis,KYC Operations,Closed,50,United States
CASE-101784,Fraud Alert,High,2025-08-24,2025-08-24 16:28:41,2025-08-26 21:28:07,AGT0077,Betty Mendoza,Fraud Operations,Closed,48,Ireland
CASE-101785,Fraud Alert,Low,2026-02-21,2026-02-21 15:44:34,2026-02-22 04:44:16,AGT0014,Jeffrey Hall,Fraud Operations,Closed,30,United Kingdom
CASE-101786,AML Review,Low,2025-08-22,2025-08-23 19:31:28,2025-08-24 03:45:22,AGT0004,Elizabeth Wilson,AML Operations,Closed,40,United States
CASE-101787,AML Review,High,2025-08-13,2025-08-13 06:30:52,2025-08-16 00:37:32,AGT0007,Mary Thompson,AML Operations,Closed,90,France
